url,neg,neu,pos,compound
https://www.bbc.com/news/technology-63861322,0.119,0.767,0.114,-0.8202
https://www.cbc.ca/news/business/chatgpt-artificial-intelligence-1.6681401,0.03,0.863,0.106,0.9985
https://www.cnn.com/2022/12/05/tech/chatgpt-trnd/index.html,0.044,0.815,0.141,0.9997
